Date,Hour,LocationName,Count,WeekDay,WeekNum,Month,Year
16/08/2008,00:00,Albion Street North,96,Saturday,33,August,2008
16/08/2008,01:00,Albion Street North,67,Saturday,33,August,2008
16/08/2008,02:00,Albion Street North,77,Saturday,33,August,2008
16/08/2008,03:00,Albion Street North,49,Saturday,33,August,2008
16/08/2008,04:00,Albion Street North,21,Saturday,33,August,2008
16/08/2008,05:00,Albion Street North,16,Saturday,33,August,2008
16/08/2008,06:00,Albion Street North,30,Saturday,33,August,2008
16/08/2008,07:00,Albion Street North,75,Saturday,33,August,2008
16/08/2008,08:00,Albion Street North,326,Saturday,33,August,2008
16/08/2008,09:00,Albion Street North,771,Saturday,33,August,2008
16/08/2008,10:00,Albion Street North,1427,Saturday,33,August,2008
16/08/2008,11:00,Albion Street North,2323,Saturday,33,August,2008
16/08/2008,12:00,Albion Street North,2997,Saturday,33,August,2008
16/08/2008,13:00,Albion Street North,3664,Saturday,33,August,2008
16/08/2008,14:00,Albion Street North,4117,Saturday,33,August,2008
16/08/2008,15:00,Albion Street North,3761,Saturday,33,August,2008
16/08/2008,16:00,Albion Street North,2439,Saturday,33,August,2008
16/08/2008,17:00,Albion Street North,1587,Saturday,33,August,2008
16/08/2008,18:00,Albion Street North,605,Saturday,33,August,2008
16/08/2008,19:00,Albion Street North,279,Saturday,33,August,2008
16/08/2008,20:00,Albion Street North,190,Saturday,33,August,2008
16/08/2008,21:00,Albion Street North,223,Saturday,33,August,2008
16/08/2008,22:00,Albion Street North,236,Saturday,33,August,2008
16/08/2008,23:00,Albion Street North,252,Saturday,33,August,2008
17/08/2008,00:00,Albion Street North,143,Sunday,33,August,2008
17/08/2008,01:00,Albion Street North,69,Sunday,33,August,2008
17/08/2008,02:00,Albion Street North,45,Sunday,33,August,2008
17/08/2008,03:00,Albion Street North,69,Sunday,33,August,2008
17/08/2008,04:00,Albion Street North,5,Sunday,33,August,2008
17/08/2008,05:00,Albion Street North,3,Sunday,33,August,2008
17/08/2008,06:00,Albion Street North,10,Sunday,33,August,2008
17/08/2008,07:00,Albion Street North,34,Sunday,33,August,2008
17/08/2008,08:00,Albion Street North,58,Sunday,33,August,2008
