Date,Hour,LocationName,Count,WeekDay,WeekNum,Month,Year
16/08/2008,00:00,Albion Street South,140,Saturday,33,August,2008
16/08/2008,01:00,Albion Street South,102,Saturday,33,August,2008
16/08/2008,02:00,Albion Street South,120,Saturday,33,August,2008
16/08/2008,03:00,Albion Street South,92,Saturday,33,August,2008
16/08/2008,04:00,Albion Street South,24,Saturday,33,August,2008
16/08/2008,05:00,Albion Street South,122,Saturday,33,August,2008
16/08/2008,06:00,Albion Street South,132,Saturday,33,August,2008
16/08/2008,07:00,Albion Street South,141,Saturday,33,August,2008
16/08/2008,08:00,Albion Street South,396,Saturday,33,August,2008
16/08/2008,09:00,Albion Street South,1172,Saturday,33,August,2008
16/08/2008,10:00,Albion Street South,2619,Saturday,33,August,2008
16/08/2008,11:00,Albion Street South,5252,Saturday,33,August,2008
16/08/2008,12:00,Albion Street South,7599,Saturday,33,August,2008
16/08/2008,13:00,Albion Street South,8996,Saturday,33,August,2008
16/08/2008,14:00,Albion Street South,9600,Saturday,33,August,2008
16/08/2008,15:00,Albion Street South,8335,Saturday,33,August,2008
16/08/2008,16:00,Albion Street South,6061,Saturday,33,August,2008
16/08/2008,17:00,Albion Street South,3043,Saturday,33,August,2008
16/08/2008,18:00,Albion Street South,862,Saturday,33,August,2008
16/08/2008,19:00,Albion Street South,318,Saturday,33,August,2008
16/08/2008,20:00,Albion Street South,329,Saturday,33,August,2008
16/08/2008,21:00,Albion Street South,421,Saturday,33,August,2008
16/08/2008,22:00,Albion Street South,438,Saturday,33,August,2008
16/08/2008,23:00,Albion Street South,487,Saturday,33,August,2008
17/08/2008,00:00,Albion Street South,257,Sunday,33,August,2008
17/08/2008,01:00,Albion Street South,134,Sunday,33,August,2008
17/08/2008,02:00,Albion Street South,118,Sunday,33,August,2008
17/08/2008,03:00,Albion Street South,114,Sunday,33,August,2008
17/08/2008,04:00,Albion Street South,25,Sunday,33,August,2008
17/08/2008,05:00,Albion Street South,3,Sunday,33,August,2008
17/08/2008,06:00,Albion Street South,9,Sunday,33,August,2008
17/08/2008,07:00,Albion Street South,47,Sunday,33,August,2008
17/08/2008,08:00,Albion Street South,50,Sunday,33,August,2008
17/08/2008,09:00,Albion Street South,132,Sunday,33,August,2008
17/08/2008,10:00,Albion Street South,560,Sunday,33,August,2008
17/08/2008,11:00,Albion Street South,1567,Sunday,33,August,2008
17/08/2008,12:00,Albion Street South,3647,Sunday,33,August,2008
17/08/2008,13:00,Albion Street South,3690,Sunday,33,August,2008
17/08/2008,14:00,Albion Street South,3671,Sunday,33,August,2008
17/08/2008,15:00,Albion Street South,3034,Sunday,33,August,2008
17/08/2008,16:00,Albion Street South,1820,Sunday,33,August,2008
17/08/2008,17:00,Albion Street South,502,Sunday,33,August,2008
17/08/2008,18:00,Albion Street South,221,Sunday,33,August,2008
17/08/2008,19:00,Albion Street South,112,Sunday,33,August,2008
17/08/2008,20:00,Albion Street South,110,Sunday,33,August,2008
17/08/2008,21:00,Albion Street South,87,Sunday,33,August,2008
17/08/2008,22:00,Albion Street South,82,Sunday,33,August,2008
17/08/2008,23:00,Albion Street South,69,Sunday,33,August,2008
18/08/2008,00:00,Albion Street South,17,Monday,34,August,2008
18/08/2008,01:00,Albion Street South,4,Monday,34,August,2008
18/08/2008,02:00,Albion Street South,2,Monday,34,August,2008
18/08/2008,03:00,Albion Street South,22,Monday,34,August,2008
18/08/2008,04:00,Albion Street South,6,Monday,34,August,2008
18/08/2008,05:00,Albion Street South,97,Monday,34,August,2008
18/08/2008,06:00,Albion Street South,247,Monday,34,August,2008
18/08/2008,07:00,Albion Street South,445,Monday,34,August,2008
18/08/2008,08:00,Albion Street South,1245,Monday,34,August,2008
18/08/2008,09:00,Albion Street South,1212,Monday,34,August,2008
18/08/2008,10:00,Albion Street South,1790,Monday,34,August,2008
18/08/2008,11:00,Albion Street South,3099,Monday,34,August,2008
18/08/2008,12:00,Albion Street South,6728,Monday,34,August,2008
18/08/2008,13:00,Albion Street South,8662,Monday,34,August,2008
18/08/2008,14:00,Albion Street South,5626,Monday,34,August,2008
18/08/2008,15:00,Albion Street South,4485,Monday,34,August,2008
18/08/2008,16:00,Albion Street South,4542,Monday,34,August,2008
18/08/2008,17:00,Albion Street South,3211,Monday,34,August,2008
18/08/2008,18:00,Albion Street South,986,Monday,34,August,2008
18/08/2008,19:00,Albion Street South,377,Monday,34,August,2008
18/08/2008,20:00,Albion Street South,211,Monday,34,August,2008
18/08/2008,21:00,Albion Street South,197,Monday,34,August,2008
18/08/2008,22:00,Albion Street South,101,Monday,34,August,2008
18/08/2008,23:00,Albion Street South,34,Monday,34,August,2008
19/08/2008,00:00,Albion Street South,44,Tuesday,34,August,2008
19/08/2008,01:00,Albion Street South,26,Tuesday,34,August,2008
19/08/2008,02:00,Albion Street South,9,Tuesday,34,August,2008
