Date,Hour,LocationName,Count,WeekDay,WeekNum,Month,Year
27/06/2008,00:00,"Briggate at McDonalds	",77,Friday,26,June,2008
27/06/2008,01:00,"Briggate at McDonalds	",57,Friday,26,June,2008
27/06/2008,02:00,"Briggate at McDonalds	",67,Friday,26,June,2008
27/06/2008,03:00,"Briggate at McDonalds	",29,Friday,26,June,2008
27/06/2008,04:00,"Briggate at McDonalds	",27,Friday,26,June,2008
27/06/2008,05:00,"Briggate at McDonalds	",26,Friday,26,June,2008
27/06/2008,06:00,"Briggate at McDonalds	",93,Friday,26,June,2008
27/06/2008,07:00,"Briggate at McDonalds	",290,Friday,26,June,2008
27/06/2008,08:00,"Briggate at McDonalds	",599,Friday,26,June,2008
27/06/2008,09:00,"Briggate at McDonalds	",621,Friday,26,June,2008
27/06/2008,10:00,"Briggate at McDonalds	",1025,Friday,26,June,2008
27/06/2008,11:00,"Briggate at McDonalds	",1755,Friday,26,June,2008
27/06/2008,12:00,"Briggate at McDonalds	",2283,Friday,26,June,2008
27/06/2008,13:00,"Briggate at McDonalds	",2425,Friday,26,June,2008
27/06/2008,14:00,"Briggate at McDonalds	",2138,Friday,26,June,2008
27/06/2008,15:00,"Briggate at McDonalds	",2013,Friday,26,June,2008
27/06/2008,16:00,"Briggate at McDonalds	",2035,Friday,26,June,2008
27/06/2008,17:00,"Briggate at McDonalds	",1668,Friday,26,June,2008
27/06/2008,18:00,"Briggate at McDonalds	",1025,Friday,26,June,2008
27/06/2008,19:00,"Briggate at McDonalds	",616,Friday,26,June,2008
27/06/2008,20:00,"Briggate at McDonalds	",566,Friday,26,June,2008
27/06/2008,21:00,"Briggate at McDonalds	",482,Friday,26,June,2008
27/06/2008,22:00,"Briggate at McDonalds	",301,Friday,26,June,2008
27/06/2008,23:00,"Briggate at McDonalds	",324,Friday,26,June,2008
28/06/2008,00:00,"Briggate at McDonalds	",256,Saturday,26,June,2008
28/06/2008,01:00,"Briggate at McDonalds	",258,Saturday,26,June,2008
28/06/2008,02:00,"Briggate at McDonalds	",179,Saturday,26,June,2008
28/06/2008,03:00,"Briggate at McDonalds	",143,Saturday,26,June,2008
28/06/2008,04:00,"Briggate at McDonalds	",67,Saturday,26,June,2008
28/06/2008,05:00,"Briggate at McDonalds	",62,Saturday,26,June,2008
28/06/2008,06:00,"Briggate at McDonalds	",72,Saturday,26,June,2008
28/06/2008,07:00,"Briggate at McDonalds	",125,Saturday,26,June,2008
28/06/2008,08:00,"Briggate at McDonalds	",440,Saturday,26,June,2008
28/06/2008,09:00,"Briggate at McDonalds	",921,Saturday,26,June,2008
28/06/2008,10:00,"Briggate at McDonalds	",1455,Saturday,26,June,2008
28/06/2008,11:00,"Briggate at McDonalds	",2032,Saturday,26,June,2008
28/06/2008,12:00,"Briggate at McDonalds	",2180,Saturday,26,June,2008
28/06/2008,13:00,"Briggate at McDonalds	",2122,Saturday,26,June,2008
28/06/2008,14:00,"Briggate at McDonalds	",1366,Saturday,26,June,2008
28/06/2008,15:00,"Briggate at McDonalds	",2171,Saturday,26,June,2008
28/06/2008,16:00,"Briggate at McDonalds	",2162,Saturday,26,June,2008
28/06/2008,17:00,"Briggate at McDonalds	",1710,Saturday,26,June,2008
28/06/2008,18:00,"Briggate at McDonalds	",1065,Saturday,26,June,2008
28/06/2008,19:00,"Briggate at McDonalds	",623,Saturday,26,June,2008
28/06/2008,20:00,"Briggate at McDonalds	",497,Saturday,26,June,2008
28/06/2008,21:00,"Briggate at McDonalds	",469,Saturday,26,June,2008
28/06/2008,22:00,"Briggate at McDonalds	",450,Saturday,26,June,2008
28/06/2008,23:00,"Briggate at McDonalds	",381,Saturday,26,June,2008
29/06/2008,00:00,"Briggate at McDonalds	",305,Sunday,26,June,2008
29/06/2008,01:00,"Briggate at McDonalds	",259,Sunday,26,June,2008
29/06/2008,02:00,"Briggate at McDonalds	",233,Sunday,26,June,2008
29/06/2008,03:00,"Briggate at McDonalds	",186,Sunday,26,June,2008
29/06/2008,04:00,"Briggate at McDonalds	",103,Sunday,26,June,2008
29/06/2008,05:00,"Briggate at McDonalds	",44,Sunday,26,June,2008
29/06/2008,06:00,"Briggate at McDonalds	",48,Sunday,26,June,2008
29/06/2008,07:00,"Briggate at McDonalds	",54,Sunday,26,June,2008
29/06/2008,08:00,"Briggate at McDonalds	",92,Sunday,26,June,2008
29/06/2008,09:00,"Briggate at McDonalds	",193,Sunday,26,June,2008
29/06/2008,10:00,"Briggate at McDonalds	",736,Sunday,26,June,2008
29/06/2008,11:00,"Briggate at McDonalds	",1181,Sunday,26,June,2008
29/06/2008,12:00,"Briggate at McDonalds	",1700,Sunday,26,June,2008
29/06/2008,13:00,"Briggate at McDonalds	",1754,Sunday,26,June,2008
29/06/2008,14:00,"Briggate at McDonalds	",1294,Sunday,26,June,2008
29/06/2008,15:00,"Briggate at McDonalds	",816,Sunday,26,June,2008
29/06/2008,16:00,"Briggate at McDonalds	",580,Sunday,26,June,2008
29/06/2008,17:00,"Briggate at McDonalds	",427,Sunday,26,June,2008
29/06/2008,18:00,"Briggate at McDonalds	",381,Sunday,26,June,2008
29/06/2008,19:00,"Briggate at McDonalds	",324,Sunday,26,June,2008
29/06/2008,20:00,"Briggate at McDonalds	",226,Sunday,26,June,2008
29/06/2008,21:00,"Briggate at McDonalds	",154,Sunday,26,June,2008
29/06/2008,22:00,"Briggate at McDonalds	",227,Sunday,26,June,2008
29/06/2008,23:00,"Briggate at McDonalds	",119,Sunday,26,June,2008
30/06/2008,00:00,"Briggate at McDonalds	",61,Monday,27,June,2008
30/06/2008,01:00,"Briggate at McDonalds	",50,Monday,27,June,2008
30/06/2008,02:00,"Briggate at McDonalds	",23,Monday,27,June,2008
30/06/2008,03:00,"Briggate at McDonalds	",19,Monday,27,June,2008
30/06/2008,04:00,"Briggate at McDonalds	",7,Monday,27,June,2008
30/06/2008,05:00,"Briggate at McDonalds	",25,Monday,27,June,2008
30/06/2008,06:00,"Briggate at McDonalds	",111,Monday,27,June,2008
30/06/2008,07:00,"Briggate at McDonalds	",266,Monday,27,June,2008
30/06/2008,08:00,"Briggate at McDonalds	",594,Monday,27,June,2008
30/06/2008,09:00,"Briggate at McDonalds	",807,Monday,27,June,2008
30/06/2008,10:00,"Briggate at McDonalds	",1063,Monday,27,June,2008
30/06/2008,11:00,"Briggate at McDonalds	",1641,Monday,27,June,2008
30/06/2008,12:00,"Briggate at McDonalds	",2245,Monday,27,June,2008
30/06/2008,13:00,"Briggate at McDonalds	",2298,Monday,27,June,2008
30/06/2008,14:00,"Briggate at McDonalds	",1908,Monday,27,June,2008
30/06/2008,15:00,"Briggate at McDonalds	",1441,Monday,27,June,2008
30/06/2008,16:00,"Briggate at McDonalds	",1152,Monday,27,June,2008
30/06/2008,17:00,"Briggate at McDonalds	",1074,Monday,27,June,2008
30/06/2008,18:00,"Briggate at McDonalds	",761,Monday,27,June,2008
30/06/2008,19:00,"Briggate at McDonalds	",359,Monday,27,June,2008
30/06/2008,20:00,"Briggate at McDonalds	",314,Monday,27,June,2008
30/06/2008,21:00,"Briggate at McDonalds	",254,Monday,27,June,2008
30/06/2008,22:00,"Briggate at McDonalds	",178,Monday,27,June,2008
30/06/2008,23:00,"Briggate at McDonalds	",96,Monday,27,June,2008
01/07/2008,00:00,"Briggate at McDonalds	",42,Tuesday,27,June,2008
