Date,Hour,LocationName,Count,WeekDay,WeekNum,Month,Year
17/07/2009,00:00,Commercial Street at Barratts,51,Friday,29,July,2009
17/07/2009,01:00,Commercial Street at Barratts,31,Friday,29,July,2009
17/07/2009,02:00,Commercial Street at Barratts,24,Friday,29,July,2009
17/07/2009,03:00,Commercial Street at Barratts,19,Friday,29,July,2009
17/07/2009,04:00,Commercial Street at Barratts,9,Friday,29,July,2009
17/07/2009,05:00,Commercial Street at Barratts,104,Friday,29,July,2009
17/07/2009,06:00,Commercial Street at Barratts,139,Friday,29,July,2009
17/07/2009,07:00,Commercial Street at Barratts,270,Friday,29,July,2009
17/07/2009,08:00,Commercial Street at Barratts,895,Friday,29,July,2009
17/07/2009,09:00,Commercial Street at Barratts,936,Friday,29,July,2009
17/07/2009,10:00,Commercial Street at Barratts,1541,Friday,29,July,2009
17/07/2009,11:00,Commercial Street at Barratts,2073,Friday,29,July,2009
17/07/2009,12:00,Commercial Street at Barratts,2829,Friday,29,July,2009
17/07/2009,13:00,Commercial Street at Barratts,3000,Friday,29,July,2009
17/07/2009,14:00,Commercial Street at Barratts,2470,Friday,29,July,2009
17/07/2009,15:00,Commercial Street at Barratts,2312,Friday,29,July,2009
17/07/2009,16:00,Commercial Street at Barratts,2107,Friday,29,July,2009
17/07/2009,17:00,Commercial Street at Barratts,1221,Friday,29,July,2009
17/07/2009,18:00,Commercial Street at Barratts,408,Friday,29,July,2009
17/07/2009,19:00,Commercial Street at Barratts,214,Friday,29,July,2009
17/07/2009,20:00,Commercial Street at Barratts,146,Friday,29,July,2009
17/07/2009,21:00,Commercial Street at Barratts,173,Friday,29,July,2009
17/07/2009,22:00,Commercial Street at Barratts,167,Friday,29,July,2009
17/07/2009,23:00,Commercial Street at Barratts,157,Friday,29,July,2009
18/07/2009,00:00,Commercial Street at Barratts,152,Saturday,29,July,2009
18/07/2009,01:00,Commercial Street at Barratts,60,Saturday,29,July,2009
18/07/2009,02:00,Commercial Street at Barratts,47,Saturday,29,July,2009
18/07/2009,03:00,Commercial Street at Barratts,20,Saturday,29,July,2009
18/07/2009,04:00,Commercial Street at Barratts,102,Saturday,29,July,2009
18/07/2009,05:00,Commercial Street at Barratts,65,Saturday,29,July,2009
18/07/2009,06:00,Commercial Street at Barratts,164,Saturday,29,July,2009
18/07/2009,07:00,Commercial Street at Barratts,219,Saturday,29,July,2009
18/07/2009,08:00,Commercial Street at Barratts,741,Saturday,29,July,2009
18/07/2009,09:00,Commercial Street at Barratts,1773,Saturday,29,July,2009
18/07/2009,10:00,Commercial Street at Barratts,3039,Saturday,29,July,2009
18/07/2009,11:00,Commercial Street at Barratts,3726,Saturday,29,July,2009
18/07/2009,12:00,Commercial Street at Barratts,4660,Saturday,29,July,2009
18/07/2009,13:00,Commercial Street at Barratts,5204,Saturday,29,July,2009
18/07/2009,14:00,Commercial Street at Barratts,5793,Saturday,29,July,2009
18/07/2009,15:00,Commercial Street at Barratts,4922,Saturday,29,July,2009
18/07/2009,16:00,Commercial Street at Barratts,4223,Saturday,29,July,2009
18/07/2009,17:00,Commercial Street at Barratts,2966,Saturday,29,July,2009
18/07/2009,18:00,Commercial Street at Barratts,1158,Saturday,29,July,2009
18/07/2009,19:00,Commercial Street at Barratts,300,Saturday,29,July,2009
18/07/2009,20:00,Commercial Street at Barratts,208,Saturday,29,July,2009
18/07/2009,21:00,Commercial Street at Barratts,178,Saturday,29,July,2009
18/07/2009,22:00,Commercial Street at Barratts,243,Saturday,29,July,2009
18/07/2009,23:00,Commercial Street at Barratts,232,Saturday,29,July,2009
19/07/2009,00:00,Commercial Street at Barratts,201,Sunday,29,July,2009
19/07/2009,01:00,Commercial Street at Barratts,149,Sunday,29,July,2009
19/07/2009,02:00,Commercial Street at Barratts,68,Sunday,29,July,2009
19/07/2009,03:00,Commercial Street at Barratts,59,Sunday,29,July,2009
19/07/2009,04:00,Commercial Street at Barratts,26,Sunday,29,July,2009
19/07/2009,05:00,Commercial Street at Barratts,17,Sunday,29,July,2009
19/07/2009,06:00,Commercial Street at Barratts,15,Sunday,29,July,2009
19/07/2009,07:00,Commercial Street at Barratts,28,Sunday,29,July,2009
19/07/2009,08:00,Commercial Street at Barratts,60,Sunday,29,July,2009
19/07/2009,09:00,Commercial Street at Barratts,97,Sunday,29,July,2009
19/07/2009,10:00,Commercial Street at Barratts,584,Sunday,29,July,2009
19/07/2009,11:00,Commercial Street at Barratts,1253,Sunday,29,July,2009
19/07/2009,12:00,Commercial Street at Barratts,1723,Sunday,29,July,2009
19/07/2009,13:00,Commercial Street at Barratts,2077,Sunday,29,July,2009
19/07/2009,14:00,Commercial Street at Barratts,2234,Sunday,29,July,2009
19/07/2009,15:00,Commercial Street at Barratts,2069,Sunday,29,July,2009
19/07/2009,16:00,Commercial Street at Barratts,1282,Sunday,29,July,2009
19/07/2009,17:00,Commercial Street at Barratts,456,Sunday,29,July,2009
19/07/2009,18:00,Commercial Street at Barratts,139,Sunday,29,July,2009
19/07/2009,19:00,Commercial Street at Barratts,118,Sunday,29,July,2009
19/07/2009,20:00,Commercial Street at Barratts,110,Sunday,29,July,2009
19/07/2009,21:00,Commercial Street at Barratts,61,Sunday,29,July,2009
19/07/2009,22:00,Commercial Street at Barratts,45,Sunday,29,July,2009
19/07/2009,23:00,Commercial Street at Barratts,85,Sunday,29,July,2009
20/07/2009,00:00,Commercial Street at Barratts,25,Monday,30,July,2009
20/07/2009,01:00,Commercial Street at Barratts,6,Monday,30,July,2009
20/07/2009,02:00,Commercial Street at Barratts,15,Monday,30,July,2009
20/07/2009,03:00,Commercial Street at Barratts,4,Monday,30,July,2009
20/07/2009,04:00,Commercial Street at Barratts,15,Monday,30,July,2009
20/07/2009,05:00,Commercial Street at Barratts,92,Monday,30,July,2009
20/07/2009,06:00,Commercial Street at Barratts,118,Monday,30,July,2009
20/07/2009,07:00,Commercial Street at Barratts,416,Monday,30,July,2009
20/07/2009,08:00,Commercial Street at Barratts,1390,Monday,30,July,2009
20/07/2009,09:00,Commercial Street at Barratts,1792,Monday,30,July,2009
20/07/2009,10:00,Commercial Street at Barratts,2110,Monday,30,July,2009
20/07/2009,11:00,Commercial Street at Barratts,2711,Monday,30,July,2009
20/07/2009,12:00,Commercial Street at Barratts,4162,Monday,30,July,2009
20/07/2009,13:00,Commercial Street at Barratts,4331,Monday,30,July,2009
20/07/2009,14:00,Commercial Street at Barratts,3444,Monday,30,July,2009
20/07/2009,15:00,Commercial Street at Barratts,2932,Monday,30,July,2009
20/07/2009,16:00,Commercial Street at Barratts,2498,Monday,30,July,2009
20/07/2009,17:00,Commercial Street at Barratts,2069,Monday,30,July,2009
20/07/2009,18:00,Commercial Street at Barratts,856,Monday,30,July,2009
20/07/2009,19:00,Commercial Street at Barratts,232,Monday,30,July,2009
20/07/2009,20:00,Commercial Street at Barratts,156,Monday,30,July,2009
20/07/2009,21:00,Commercial Street at Barratts,109,Monday,30,July,2009
20/07/2009,22:00,Commercial Street at Barratts,131,Monday,30,July,2009
20/07/2009,23:00,Commercial Street at Barratts,115,Monday,30,July,2009
21/07/2009,00:00,Commercial Street at Barratts,115,Tuesday,30,July,2009
21/07/2009,01:00,Commercial Street at Barratts,63,Tuesday,30,July,2009
21/07/2009,02:00,Commercial Street at Barratts,39,Tuesday,30,July,2009
21/07/2009,03:00,Commercial Street at Barratts,5,Tuesday,30,July,2009
21/07/2009,04:00,Commercial Street at Barratts,17,Tuesday,30,July,2009
21/07/2009,05:00,Commercial Street at Barratts,70,Tuesday,30,July,2009
21/07/2009,06:00,Commercial Street at Barratts,182,Tuesday,30,July,2009
21/07/2009,07:00,Commercial Street at Barratts,328,Tuesday,30,July,2009
21/07/2009,08:00,Commercial Street at Barratts,708,Tuesday,30,July,2009
21/07/2009,09:00,Commercial Street at Barratts,816,Tuesday,30,July,2009
21/07/2009,10:00,Commercial Street at Barratts,1471,Tuesday,30,July,2009
21/07/2009,11:00,Commercial Street at Barratts,2075,Tuesday,30,July,2009
21/07/2009,12:00,Commercial Street at Barratts,3409,Tuesday,30,July,2009
21/07/2009,13:00,Commercial Street at Barratts,3734,Tuesday,30,July,2009
21/07/2009,14:00,Commercial Street at Barratts,3045,Tuesday,30,July,2009
21/07/2009,15:00,Commercial Street at Barratts,2762,Tuesday,30,July,2009
21/07/2009,16:00,Commercial Street at Barratts,2133,Tuesday,30,July,2009
21/07/2009,17:00,Commercial Street at Barratts,1437,Tuesday,30,July,2009
21/07/2009,18:00,Commercial Street at Barratts,526,Tuesday,30,July,2009
21/07/2009,19:00,Commercial Street at Barratts,251,Tuesday,30,July,2009
21/07/2009,20:00,Commercial Street at Barratts,166,Tuesday,30,July,2009
21/07/2009,21:00,Commercial Street at Barratts,182,Tuesday,30,July,2009
21/07/2009,22:00,Commercial Street at Barratts,93,Tuesday,30,July,2009
21/07/2009,23:00,Commercial Street at Barratts,91,Tuesday,30,July,2009
22/07/2009,00:00,Commercial Street at Barratts,80,Wednesday,30,July,2009
22/07/2009,01:00,Commercial Street at Barratts,19,Wednesday,30,July,2009
22/07/2009,02:00,Commercial Street at Barratts,44,Wednesday,30,July,2009
22/07/2009,03:00,Commercial Street at Barratts,18,Wednesday,30,July,2009
22/07/2009,04:00,Commercial Street at Barratts,6,Wednesday,30,July,2009
22/07/2009,05:00,Commercial Street at Barratts,94,Wednesday,30,July,2009
22/07/2009,06:00,Commercial Street at Barratts,84,Wednesday,30,July,2009
22/07/2009,07:00,Commercial Street at Barratts,250,Wednesday,30,July,2009
22/07/2009,08:00,Commercial Street at Barratts,747,Wednesday,30,July,2009
22/07/2009,09:00,Commercial Street at Barratts,989,Wednesday,30,July,2009
22/07/2009,10:00,Commercial Street at Barratts,1656,Wednesday,30,July,2009
22/07/2009,11:00,Commercial Street at Barratts,1891,Wednesday,30,July,2009
22/07/2009,12:00,Commercial Street at Barratts,3970,Wednesday,30,July,2009
22/07/2009,13:00,Commercial Street at Barratts,3968,Wednesday,30,July,2009
22/07/2009,14:00,Commercial Street at Barratts,2945,Wednesday,30,July,2009
22/07/2009,15:00,Commercial Street at Barratts,2291,Wednesday,30,July,2009
22/07/2009,16:00,Commercial Street at Barratts,2082,Wednesday,30,July,2009
22/07/2009,17:00,Commercial Street at Barratts,1789,Wednesday,30,July,2009
22/07/2009,18:00,Commercial Street at Barratts,642,Wednesday,30,July,2009
22/07/2009,19:00,Commercial Street at Barratts,236,Wednesday,30,July,2009
22/07/2009,20:00,Commercial Street at Barratts,132,Wednesday,30,July,2009
22/07/2009,21:00,Commercial Street at Barratts,139,Wednesday,30,July,2009
22/07/2009,22:00,Commercial Street at Barratts,106,Wednesday,30,July,2009
22/07/2009,23:00,Commercial Street at Barratts,103,Wednesday,30,July,2009
23/07/2009,00:00,Commercial Street at Barratts,65,Thursday,30,July,2009
23/07/2009,01:00,Commercial Street at Barratts,52,Thursday,30,July,2009
23/07/2009,02:00,Commercial Street at Barratts,20,Thursday,30,July,2009
23/07/2009,03:00,Commercial Street at Barratts,15,Thursday,30,July,2009
23/07/2009,04:00,Commercial Street at Barratts,45,Thursday,30,July,2009
23/07/2009,05:00,Commercial Street at Barratts,80,Thursday,30,July,2009
23/07/2009,06:00,Commercial Street at Barratts,128,Thursday,30,July,2009
23/07/2009,07:00,Commercial Street at Barratts,252,Thursday,30,July,2009
23/07/2009,08:00,Commercial Street at Barratts,1165,Thursday,30,July,2009
23/07/2009,09:00,Commercial Street at Barratts,1411,Thursday,30,July,2009
23/07/2009,10:00,Commercial Street at Barratts,1945,Thursday,30,July,2009
23/07/2009,11:00,Commercial Street at Barratts,2578,Thursday,30,July,2009
23/07/2009,12:00,Commercial Street at Barratts,3481,Thursday,30,July,2009
23/07/2009,13:00,Commercial Street at Barratts,3664,Thursday,30,July,2009
23/07/2009,14:00,Commercial Street at Barratts,3491,Thursday,30,July,2009
23/07/2009,15:00,Commercial Street at Barratts,2781,Thursday,30,July,2009
23/07/2009,16:00,Commercial Street at Barratts,2331,Thursday,30,July,2009
23/07/2009,17:00,Commercial Street at Barratts,2327,Thursday,30,July,2009
23/07/2009,18:00,Commercial Street at Barratts,1164,Thursday,30,July,2009
23/07/2009,19:00,Commercial Street at Barratts,285,Thursday,30,July,2009
23/07/2009,20:00,Commercial Street at Barratts,233,Thursday,30,July,2009
23/07/2009,21:00,Commercial Street at Barratts,138,Thursday,30,July,2009
23/07/2009,22:00,Commercial Street at Barratts,155,Thursday,30,July,2009
23/07/2009,23:00,Commercial Street at Barratts,169,Thursday,30,July,2009
24/07/2009,00:00,Commercial Street at Barratts,175,Friday,30,July,2009
24/07/2009,01:00,Commercial Street at Barratts,69,Friday,30,July,2009
24/07/2009,02:00,Commercial Street at Barratts,32,Friday,30,July,2009
24/07/2009,03:00,Commercial Street at Barratts,41,Friday,30,July,2009
24/07/2009,04:00,Commercial Street at Barratts,30,Friday,30,July,2009
24/07/2009,05:00,Commercial Street at Barratts,92,Friday,30,July,2009
24/07/2009,06:00,Commercial Street at Barratts,128,Friday,30,July,2009
