Date,Hour,LocationName,Count,WeekDay,WeekNum,Month,Year
27/06/2008,00:00,Commercial Street at Lush,130,Friday,26,June,2008
27/06/2008,01:00,Commercial Street at Lush,51,Friday,26,June,2008
27/06/2008,02:00,Commercial Street at Lush,23,Friday,26,June,2008
27/06/2008,03:00,Commercial Street at Lush,13,Friday,26,June,2008
27/06/2008,04:00,Commercial Street at Lush,15,Friday,26,June,2008
27/06/2008,05:00,Commercial Street at Lush,27,Friday,26,June,2008
27/06/2008,06:00,Commercial Street at Lush,68,Friday,26,June,2008
27/06/2008,07:00,Commercial Street at Lush,149,Friday,26,June,2008
27/06/2008,08:00,Commercial Street at Lush,597,Friday,26,June,2008
27/06/2008,09:00,Commercial Street at Lush,1402,Friday,26,June,2008
27/06/2008,10:00,Commercial Street at Lush,1825,Friday,26,June,2008
27/06/2008,11:00,Commercial Street at Lush,3010,Friday,26,June,2008
27/06/2008,12:00,Commercial Street at Lush,4367,Friday,26,June,2008
27/06/2008,13:00,Commercial Street at Lush,7221,Friday,26,June,2008
27/06/2008,14:00,Commercial Street at Lush,8939,Friday,26,June,2008
27/06/2008,15:00,Commercial Street at Lush,5895,Friday,26,June,2008
27/06/2008,16:00,Commercial Street at Lush,4847,Friday,26,June,2008
27/06/2008,17:00,Commercial Street at Lush,4215,Friday,26,June,2008
27/06/2008,18:00,Commercial Street at Lush,3158,Friday,26,June,2008
27/06/2008,19:00,Commercial Street at Lush,1064,Friday,26,June,2008
27/06/2008,20:00,Commercial Street at Lush,440,Friday,26,June,2008
27/06/2008,21:00,Commercial Street at Lush,420,Friday,26,June,2008
27/06/2008,22:00,Commercial Street at Lush,338,Friday,26,June,2008
27/06/2008,23:00,Commercial Street at Lush,250,Friday,26,June,2008
28/06/2008,00:00,Commercial Street at Lush,262,Saturday,26,June,2008
28/06/2008,01:00,Commercial Street at Lush,196,Saturday,26,June,2008
28/06/2008,02:00,Commercial Street at Lush,78,Saturday,26,June,2008
28/06/2008,03:00,Commercial Street at Lush,55,Saturday,26,June,2008
28/06/2008,04:00,Commercial Street at Lush,21,Saturday,26,June,2008
28/06/2008,05:00,Commercial Street at Lush,25,Saturday,26,June,2008
28/06/2008,06:00,Commercial Street at Lush,62,Saturday,26,June,2008
28/06/2008,07:00,Commercial Street at Lush,66,Saturday,26,June,2008
28/06/2008,08:00,Commercial Street at Lush,154,Saturday,26,June,2008
28/06/2008,09:00,Commercial Street at Lush,597,Saturday,26,June,2008
28/06/2008,10:00,Commercial Street at Lush,1954,Saturday,26,June,2008
28/06/2008,11:00,Commercial Street at Lush,3932,Saturday,26,June,2008
28/06/2008,12:00,Commercial Street at Lush,6487,Saturday,26,June,2008
28/06/2008,13:00,Commercial Street at Lush,9421,Saturday,26,June,2008
28/06/2008,14:00,Commercial Street at Lush,10669,Saturday,26,June,2008
28/06/2008,15:00,Commercial Street at Lush,11328,Saturday,26,June,2008
28/06/2008,16:00,Commercial Street at Lush,9931,Saturday,26,June,2008
28/06/2008,17:00,Commercial Street at Lush,7325,Saturday,26,June,2008
28/06/2008,18:00,Commercial Street at Lush,3954,Saturday,26,June,2008
28/06/2008,19:00,Commercial Street at Lush,1020,Saturday,26,June,2008
28/06/2008,20:00,Commercial Street at Lush,394,Saturday,26,June,2008
28/06/2008,21:00,Commercial Street at Lush,376,Saturday,26,June,2008
28/06/2008,22:00,Commercial Street at Lush,311,Saturday,26,June,2008
28/06/2008,23:00,Commercial Street at Lush,234,Saturday,26,June,2008
29/06/2008,00:00,Commercial Street at Lush,247,Sunday,26,June,2008
29/06/2008,01:00,Commercial Street at Lush,191,Sunday,26,June,2008
29/06/2008,02:00,Commercial Street at Lush,137,Sunday,26,June,2008
29/06/2008,03:00,Commercial Street at Lush,101,Sunday,26,June,2008
29/06/2008,04:00,Commercial Street at Lush,52,Sunday,26,June,2008
29/06/2008,05:00,Commercial Street at Lush,21,Sunday,26,June,2008
29/06/2008,06:00,Commercial Street at Lush,13,Sunday,26,June,2008
29/06/2008,07:00,Commercial Street at Lush,25,Sunday,26,June,2008
29/06/2008,08:00,Commercial Street at Lush,60,Sunday,26,June,2008
29/06/2008,09:00,Commercial Street at Lush,53,Sunday,26,June,2008
29/06/2008,10:00,Commercial Street at Lush,194,Sunday,26,June,2008
29/06/2008,11:00,Commercial Street at Lush,903,Sunday,26,June,2008
29/06/2008,12:00,Commercial Street at Lush,2255,Sunday,26,June,2008
29/06/2008,13:00,Commercial Street at Lush,3669,Sunday,26,June,2008
29/06/2008,14:00,Commercial Street at Lush,4265,Sunday,26,June,2008
29/06/2008,15:00,Commercial Street at Lush,4437,Sunday,26,June,2008
29/06/2008,16:00,Commercial Street at Lush,5354,Sunday,26,June,2008
29/06/2008,17:00,Commercial Street at Lush,4119,Sunday,26,June,2008
29/06/2008,18:00,Commercial Street at Lush,1472,Sunday,26,June,2008
29/06/2008,19:00,Commercial Street at Lush,397,Sunday,26,June,2008
29/06/2008,20:00,Commercial Street at Lush,175,Sunday,26,June,2008
29/06/2008,21:00,Commercial Street at Lush,113,Sunday,26,June,2008
29/06/2008,22:00,Commercial Street at Lush,81,Sunday,26,June,2008
29/06/2008,23:00,Commercial Street at Lush,67,Sunday,26,June,2008
30/06/2008,00:00,Commercial Street at Lush,43,Monday,27,June,2008
30/06/2008,01:00,Commercial Street at Lush,15,Monday,27,June,2008
30/06/2008,02:00,Commercial Street at Lush,43,Monday,27,June,2008
30/06/2008,03:00,Commercial Street at Lush,5,Monday,27,June,2008
30/06/2008,04:00,Commercial Street at Lush,32,Monday,27,June,2008
30/06/2008,05:00,Commercial Street at Lush,18,Monday,27,June,2008
30/06/2008,06:00,Commercial Street at Lush,85,Monday,27,June,2008
30/06/2008,07:00,Commercial Street at Lush,158,Monday,27,June,2008
30/06/2008,08:00,Commercial Street at Lush,688,Monday,27,June,2008
30/06/2008,09:00,Commercial Street at Lush,1498,Monday,27,June,2008
30/06/2008,10:00,Commercial Street at Lush,1717,Monday,27,June,2008
30/06/2008,11:00,Commercial Street at Lush,2603,Monday,27,June,2008
30/06/2008,12:00,Commercial Street at Lush,3625,Monday,27,June,2008
30/06/2008,13:00,Commercial Street at Lush,7701,Monday,27,June,2008
30/06/2008,14:00,Commercial Street at Lush,9411,Monday,27,June,2008
30/06/2008,15:00,Commercial Street at Lush,5750,Monday,27,June,2008
30/06/2008,16:00,Commercial Street at Lush,5178,Monday,27,June,2008
