Date,Hour,LocationName,Count,WeekDay,WeekNum,Month,Year
27/08/2008,00:00,"Dortmund Square	",25,Wednesday,35,August,2008
27/08/2008,01:00,"Dortmund Square	",9,Wednesday,35,August,2008
27/08/2008,02:00,"Dortmund Square	",14,Wednesday,35,August,2008
27/08/2008,03:00,"Dortmund Square	",12,Wednesday,35,August,2008
27/08/2008,04:00,"Dortmund Square	",5,Wednesday,35,August,2008
27/08/2008,05:00,"Dortmund Square	",13,Wednesday,35,August,2008
27/08/2008,06:00,"Dortmund Square	",44,Wednesday,35,August,2008
27/08/2008,07:00,"Dortmund Square	",109,Wednesday,35,August,2008
27/08/2008,08:00,"Dortmund Square	",265,Wednesday,35,August,2008
27/08/2008,09:00,"Dortmund Square	",321,Wednesday,35,August,2008
27/08/2008,10:00,"Dortmund Square	",699,Wednesday,35,August,2008
27/08/2008,11:00,"Dortmund Square	",1052,Wednesday,35,August,2008
27/08/2008,12:00,"Dortmund Square	",1304,Wednesday,35,August,2008
27/08/2008,13:00,"Dortmund Square	",1337,Wednesday,35,August,2008
27/08/2008,14:00,"Dortmund Square	",1340,Wednesday,35,August,2008
27/08/2008,15:00,"Dortmund Square	",1161,Wednesday,35,August,2008
27/08/2008,16:00,"Dortmund Square	",1122,Wednesday,35,August,2008
27/08/2008,17:00,"Dortmund Square	",900,Wednesday,35,August,2008
27/08/2008,18:00,"Dortmund Square	",413,Wednesday,35,August,2008
27/08/2008,19:00,"Dortmund Square	",280,Wednesday,35,August,2008
27/08/2008,20:00,"Dortmund Square	",205,Wednesday,35,August,2008
27/08/2008,21:00,"Dortmund Square	",186,Wednesday,35,August,2008
27/08/2008,22:00,"Dortmund Square	",141,Wednesday,35,August,2008
27/08/2008,23:00,"Dortmund Square	",64,Wednesday,35,August,2008
28/08/2008,00:00,"Dortmund Square	",32,Thursday,35,August,2008
28/08/2008,01:00,"Dortmund Square	",8,Thursday,35,August,2008
28/08/2008,02:00,"Dortmund Square	",15,Thursday,35,August,2008
28/08/2008,03:00,"Dortmund Square	",7,Thursday,35,August,2008
28/08/2008,04:00,"Dortmund Square	",9,Thursday,35,August,2008
28/08/2008,05:00,"Dortmund Square	",31,Thursday,35,August,2008
28/08/2008,06:00,"Dortmund Square	",69,Thursday,35,August,2008
28/08/2008,07:00,"Dortmund Square	",121,Thursday,35,August,2008
28/08/2008,08:00,"Dortmund Square	",246,Thursday,35,August,2008
28/08/2008,09:00,"Dortmund Square	",843,Thursday,35,August,2008
28/08/2008,10:00,"Dortmund Square	",681,Thursday,35,August,2008
28/08/2008,11:00,"Dortmund Square	",1040,Thursday,35,August,2008
28/08/2008,12:00,"Dortmund Square	",1233,Thursday,35,August,2008
28/08/2008,13:00,"Dortmund Square	",1519,Thursday,35,August,2008
28/08/2008,14:00,"Dortmund Square	",1213,Thursday,35,August,2008
28/08/2008,15:00,"Dortmund Square	",1159,Thursday,35,August,2008
28/08/2008,16:00,"Dortmund Square	",1095,Thursday,35,August,2008
28/08/2008,17:00,"Dortmund Square	",958,Thursday,35,August,2008
28/08/2008,18:00,"Dortmund Square	",543,Thursday,35,August,2008
28/08/2008,19:00,"Dortmund Square	",394,Thursday,35,August,2008
28/08/2008,20:00,"Dortmund Square	",253,Thursday,35,August,2008
28/08/2008,21:00,"Dortmund Square	",169,Thursday,35,August,2008
28/08/2008,22:00,"Dortmund Square	",143,Thursday,35,August,2008
28/08/2008,23:00,"Dortmund Square	",110,Thursday,35,August,2008
29/08/2008,00:00,"Dortmund Square	",59,Friday,35,August,2008
29/08/2008,01:00,"Dortmund Square	",39,Friday,35,August,2008
29/08/2008,02:00,"Dortmund Square	",13,Friday,35,August,2008
29/08/2008,03:00,"Dortmund Square	",38,Friday,35,August,2008
29/08/2008,04:00,"Dortmund Square	",8,Friday,35,August,2008
29/08/2008,05:00,"Dortmund Square	",23,Friday,35,August,2008
29/08/2008,06:00,"Dortmund Square	",41,Friday,35,August,2008
29/08/2008,07:00,"Dortmund Square	",104,Friday,35,August,2008
29/08/2008,08:00,"Dortmund Square	",234,Friday,35,August,2008
29/08/2008,09:00,"Dortmund Square	",397,Friday,35,August,2008
29/08/2008,10:00,"Dortmund Square	",781,Friday,35,August,2008
29/08/2008,11:00,"Dortmund Square	",982,Friday,35,August,2008
29/08/2008,12:00,"Dortmund Square	",1241,Friday,35,August,2008
29/08/2008,13:00,"Dortmund Square	",1304,Friday,35,August,2008
29/08/2008,14:00,"Dortmund Square	",1284,Friday,35,August,2008
29/08/2008,15:00,"Dortmund Square	",1079,Friday,35,August,2008
29/08/2008,16:00,"Dortmund Square	",1117,Friday,35,August,2008
29/08/2008,17:00,"Dortmund Square	",898,Friday,35,August,2008
29/08/2008,18:00,"Dortmund Square	",465,Friday,35,August,2008
29/08/2008,19:00,"Dortmund Square	",351,Friday,35,August,2008
29/08/2008,20:00,"Dortmund Square	",265,Friday,35,August,2008
29/08/2008,21:00,"Dortmund Square	",265,Friday,35,August,2008
29/08/2008,22:00,"Dortmund Square	",270,Friday,35,August,2008
29/08/2008,23:00,"Dortmund Square	",220,Friday,35,August,2008
30/08/2008,00:00,"Dortmund Square	",128,Saturday,35,August,2008
30/08/2008,01:00,"Dortmund Square	",113,Saturday,35,August,2008
30/08/2008,02:00,"Dortmund Square	",73,Saturday,35,August,2008
30/08/2008,03:00,"Dortmund Square	",39,Saturday,35,August,2008
30/08/2008,04:00,"Dortmund Square	",12,Saturday,35,August,2008
30/08/2008,05:00,"Dortmund Square	",23,Saturday,35,August,2008
30/08/2008,06:00,"Dortmund Square	",33,Saturday,35,August,2008
30/08/2008,07:00,"Dortmund Square	",51,Saturday,35,August,2008
30/08/2008,08:00,"Dortmund Square	",156,Saturday,35,August,2008
30/08/2008,09:00,"Dortmund Square	",413,Saturday,35,August,2008
30/08/2008,10:00,"Dortmund Square	",717,Saturday,35,August,2008
30/08/2008,11:00,"Dortmund Square	",1046,Saturday,35,August,2008
30/08/2008,12:00,"Dortmund Square	",1205,Saturday,35,August,2008
30/08/2008,13:00,"Dortmund Square	",1455,Saturday,35,August,2008
30/08/2008,14:00,"Dortmund Square	",1314,Saturday,35,August,2008
30/08/2008,15:00,"Dortmund Square	",1361,Saturday,35,August,2008
30/08/2008,16:00,"Dortmund Square	",1194,Saturday,35,August,2008
30/08/2008,17:00,"Dortmund Square	",840,Saturday,35,August,2008
30/08/2008,18:00,"Dortmund Square	",381,Saturday,35,August,2008
30/08/2008,19:00,"Dortmund Square	",286,Saturday,35,August,2008
30/08/2008,20:00,"Dortmund Square	",273,Saturday,35,August,2008
30/08/2008,21:00,"Dortmund Square	",250,Saturday,35,August,2008
30/08/2008,22:00,"Dortmund Square	",248,Saturday,35,August,2008
30/08/2008,23:00,"Dortmund Square	",231,Saturday,35,August,2008
31/08/2008,00:00,"Dortmund Square	",124,Sunday,35,August,2008
31/08/2008,01:00,"Dortmund Square	",193,Sunday,35,August,2008
31/08/2008,02:00,"Dortmund Square	",127,Sunday,35,August,2008
31/08/2008,03:00,"Dortmund Square	",121,Sunday,35,August,2008
31/08/2008,04:00,"Dortmund Square	",17,Sunday,35,August,2008
31/08/2008,05:00,"Dortmund Square	",4,Sunday,35,August,2008
31/08/2008,06:00,"Dortmund Square	",21,Sunday,35,August,2008
31/08/2008,07:00,"Dortmund Square	",28,Sunday,35,August,2008
31/08/2008,08:00,"Dortmund Square	",26,Sunday,35,August,2008
31/08/2008,09:00,"Dortmund Square	",63,Sunday,35,August,2008
31/08/2008,10:00,"Dortmund Square	",211,Sunday,35,August,2008
31/08/2008,11:00,"Dortmund Square	",466,Sunday,35,August,2008
31/08/2008,12:00,"Dortmund Square	",670,Sunday,35,August,2008
31/08/2008,13:00,"Dortmund Square	",853,Sunday,35,August,2008
31/08/2008,14:00,"Dortmund Square	",837,Sunday,35,August,2008
31/08/2008,15:00,"Dortmund Square	",710,Sunday,35,August,2008
31/08/2008,16:00,"Dortmund Square	",617,Sunday,35,August,2008
31/08/2008,17:00,"Dortmund Square	",306,Sunday,35,August,2008
31/08/2008,18:00,"Dortmund Square	",150,Sunday,35,August,2008
31/08/2008,19:00,"Dortmund Square	",158,Sunday,35,August,2008
31/08/2008,20:00,"Dortmund Square	",176,Sunday,35,August,2008
31/08/2008,21:00,"Dortmund Square	",92,Sunday,35,August,2008
31/08/2008,22:00,"Dortmund Square	",88,Sunday,35,August,2008
31/08/2008,23:00,"Dortmund Square	",28,Sunday,35,August,2008
01/09/2008,00:00,"Dortmund Square	",14,Monday,36,September,2008
01/09/2008,01:00,"Dortmund Square	",4,Monday,36,September,2008
01/09/2008,02:00,"Dortmund Square	",3,Monday,36,September,2008
01/09/2008,03:00,"Dortmund Square	",1,Monday,36,September,2008
01/09/2008,04:00,"Dortmund Square	",5,Monday,36,September,2008
01/09/2008,05:00,"Dortmund Square	",10,Monday,36,September,2008
01/09/2008,06:00,"Dortmund Square	",34,Monday,36,September,2008
01/09/2008,07:00,"Dortmund Square	",108,Monday,36,September,2008
01/09/2008,08:00,"Dortmund Square	",259,Monday,36,September,2008
01/09/2008,09:00,"Dortmund Square	",454,Monday,36,September,2008
01/09/2008,10:00,"Dortmund Square	",822,Monday,36,September,2008
01/09/2008,11:00,"Dortmund Square	",1106,Monday,36,September,2008
01/09/2008,12:00,"Dortmund Square	",1427,Monday,36,September,2008
01/09/2008,13:00,"Dortmund Square	",1718,Monday,36,September,2008
01/09/2008,14:00,"Dortmund Square	",1487,Monday,36,September,2008
01/09/2008,15:00,"Dortmund Square	",1097,Monday,36,September,2008
01/09/2008,16:00,"Dortmund Square	",1206,Monday,36,September,2008
01/09/2008,17:00,"Dortmund Square	",995,Monday,36,September,2008
01/09/2008,18:00,"Dortmund Square	",380,Monday,36,September,2008
01/09/2008,19:00,"Dortmund Square	",252,Monday,36,September,2008
01/09/2008,20:00,"Dortmund Square	",193,Monday,36,September,2008
01/09/2008,21:00,"Dortmund Square	",144,Monday,36,September,2008
01/09/2008,22:00,"Dortmund Square	",118,Monday,36,September,2008
01/09/2008,23:00,"Dortmund Square	",51,Monday,36,September,2008
02/09/2008,00:00,"Dortmund Square	",12,Tuesday,36,September,2008
02/09/2008,01:00,"Dortmund Square	",4,Tuesday,36,September,2008
02/09/2008,02:00,"Dortmund Square	",4,Tuesday,36,September,2008
02/09/2008,03:00,"Dortmund Square	",3,Tuesday,36,September,2008
02/09/2008,04:00,"Dortmund Square	",4,Tuesday,36,September,2008
02/09/2008,05:00,"Dortmund Square	",25,Tuesday,36,September,2008
02/09/2008,06:00,"Dortmund Square	",52,Tuesday,36,September,2008
02/09/2008,07:00,"Dortmund Square	",104,Tuesday,36,September,2008
02/09/2008,08:00,"Dortmund Square	",288,Tuesday,36,September,2008
02/09/2008,09:00,"Dortmund Square	",684,Tuesday,36,September,2008
02/09/2008,10:00,"Dortmund Square	",1092,Tuesday,36,September,2008
02/09/2008,11:00,"Dortmund Square	",1169,Tuesday,36,September,2008
02/09/2008,12:00,"Dortmund Square	",1358,Tuesday,36,September,2008
02/09/2008,13:00,"Dortmund Square	",1434,Tuesday,36,September,2008
02/09/2008,14:00,"Dortmund Square	",1298,Tuesday,36,September,2008
